Day,Hour,Fuel,OutputQuality,Output
2019-01-01,1,NUCLEAR,0,11215
2019-01-01,1,GAS,0,232
2019-01-01,1,HYDRO,0,3320
2019-01-01,1,WIND,0,1302
2019-01-01,1,SOLAR,-1,0
2019-01-01,1,BIOFUEL,0,10
2019-01-01,2,NUCLEAR,0,11221
2019-01-01,2,GAS,0,233
2019-01-01,2,HYDRO,0,3274
2019-01-01,2,WIND,0,1146
2019-01-01,2,SOLAR,-1,0
2019-01-01,2,BIOFUEL,0,10
2019-01-01,3,NUCLEAR,0,11205
2019-01-01,3,GAS,0,233
2019-01-01,3,HYDRO,0,3222
2019-01-01,3,WIND,0,992
2019-01-01,3,SOLAR,-1,0
2019-01-01,3,BIOFUEL,0,10
2019-01-01,4,NUCLEAR,0,11205
2019-01-01,4,GAS,0,234
2019-01-01,4,HYDRO,0,3205
2019-01-01,4,WIND,0,876
2019-01-01,4,SOLAR,-1,0
2019-01-01,4,BIOFUEL,0,10
2019-01-01,5,NUCLEAR,0,11214
2019-01-01,5,GAS,0,233
2019-01-01,5,HYDRO,0,3218
2019-01-01,5,WIND,0,883
2019-01-01,5,SOLAR,-1,0
2019-01-01,5,BIOFUEL,0,10
2019-01-01,6,NUCLEAR,0,11208
2019-01-01,6,GAS,0,234
2019-01-01,6,HYDRO,0,3220
2019-01-01,6,WIND,0,975
2019-01-01,6,SOLAR,-1,0
2019-01-01,6,BIOFUEL,0,10
2019-01-01,7,NUCLEAR,0,11209
2019-01-01,7,GAS,0,237
2019-01-01,7,HYDRO,0,3651
2019-01-01,7,WIND,0,639
2019-01-01,7,SOLAR,-1,0
2019-01-01,7,BIOFUEL,0,10
2019-01-01,8,NUCLEAR,0,11214
2019-01-01,8,GAS,0,238
2019-01-01,8,HYDRO,0,3774
2019-01-01,8,WIND,0,857
2019-01-01,8,SOLAR,-1,0
2019-01-01,8,BIOFUEL,0,10
2019-01-01,9,NUCLEAR,0,11209
2019-01-01,9,GAS,0,296
2019-01-01,9,HYDRO,0,3765
2019-01-01,9,WIND,0,699
2019-01-01,9,SOLAR,-1,2
2019-01-01,9,BIOFUEL,0,10
2019-01-01,10,NUCLEAR,0,11207
2019-01-01,10,GAS,0,317
2019-01-01,10,HYDRO,0,3780
2019-01-01,10,WIND,0,932
2019-01-01,10,SOLAR,-1,20
2019-01-01,10,BIOFUEL,0,11
2019-01-01,11,NUCLEAR,0,11218
2019-01-01,11,GAS,0,381
2019-01-01,11,HYDRO,0,3536
2019-01-01,11,WIND,0,1449
2019-01-01,11,SOLAR,-1,34
2019-01-01,11,BIOFUEL,0,11
2019-01-01,12,NUCLEAR,0,11219
2019-01-01,12,GAS,0,423
2019-01-01,12,HYDRO,0,3466
2019-01-01,12,WIND,0,1107
2019-01-01,12,SOLAR,-1,76
2019-01-01,12,BIOFUEL,0,13
2019-01-01,13,NUCLEAR,0,11215
2019-01-01,13,GAS,0,564
2019-01-01,13,HYDRO,0,3552
2019-01-01,13,WIND,0,876
2019-01-01,13,SOLAR,-1,116
2019-01-01,13,BIOFUEL,0,13
2019-01-01,14,NUCLEAR,0,11219
2019-01-01,14,GAS,0,703
2019-01-01,14,HYDRO,0,3669
2019-01-01,14,WIND,0,670
2019-01-01,14,SOLAR,-1,142
2019-01-01,14,BIOFUEL,0,10
2019-01-01,15,NUCLEAR,0,11225
2019-01-01,15,GAS,0,710
2019-01-01,15,HYDRO,0,3744
2019-01-01,15,WIND,0,894
2019-01-01,15,SOLAR,-1,90
2019-01-01,15,BIOFUEL,0,10
2019-01-01,16,NUCLEAR,0,11222
2019-01-01,16,GAS,0,740
2019-01-01,16,HYDRO,0,4218
2019-01-01,16,WIND,0,574
2019-01-01,16,SOLAR,-1,41
2019-01-01,16,BIOFUEL,0,10
2019-01-01,17,NUCLEAR,0,11228
2019-01-01,17,GAS,0,790
2019-01-01,17,HYDRO,0,4832
2019-01-01,17,WIND,0,970
2019-01-01,17,SOLAR,-1,4
2019-01-01,17,BIOFUEL,0,10
2019-01-01,18,NUCLEAR,0,11232
2019-01-01,18,GAS,0,1041
2019-01-01,18,HYDRO,0,5800
2019-01-01,18,WIND,0,745
2019-01-01,18,SOLAR,-1,0
2019-01-01,18,BIOFUEL,0,10
2019-01-01,19,NUCLEAR,0,11232
2019-01-01,19,GAS,0,1127
2019-01-01,19,HYDRO,0,5943
2019-01-01,19,WIND,0,503
2019-01-01,19,SOLAR,-1,0
2019-01-01,19,BIOFUEL,0,10
2019-01-01,20,NUCLEAR,0,11231
2019-01-01,20,GAS,0,1146
2019-01-01,20,HYDRO,0,6012
2019-01-01,20,WIND,0,345
2019-01-01,20,SOLAR,-1,0
2019-01-01,20,BIOFUEL,0,10
2019-01-01,21,NUCLEAR,0,11224
2019-01-01,21,GAS,0,1186
2019-01-01,21,HYDRO,0,5785
2019-01-01,21,WIND,0,316
2019-01-01,21,SOLAR,-1,0
2019-01-01,21,BIOFUEL,0,10
2019-01-01,22,NUCLEAR,0,11229
2019-01-01,22,GAS,0,721
2019-01-01,22,HYDRO,0,5294
2019-01-01,22,WIND,0,407
2019-01-01,22,SOLAR,-1,0
2019-01-01,22,BIOFUEL,0,10
2019-01-01,23,NUCLEAR,0,11234
2019-01-01,23,GAS,0,616
2019-01-01,23,HYDRO,0,4322
2019-01-01,23,WIND,0,352
2019-01-01,23,SOLAR,-1,0
2019-01-01,23,BIOFUEL,0,10
2019-01-01,24,NUCLEAR,0,11228
2019-01-01,24,GAS,0,408
2019-01-01,24,HYDRO,0,4262
2019-01-01,24,WIND,0,216
2019-01-01,24,SOLAR,-1,0
2019-01-01,24,BIOFUEL,0,10
2019-01-02,1,NUCLEAR,0,11235
2019-01-02,1,GAS,0,250
2019-01-02,1,HYDRO,0,4217
2019-01-02,1,WIND,0,132
2019-01-02,1,SOLAR,-1,0
2019-01-02,1,BIOFUEL,0,10
2019-01-02,2,NUCLEAR,0,11244
2019-01-02,2,GAS,0,237
2019-01-02,2,HYDRO,0,3994
2019-01-02,2,WIND,0,195
2019-01-02,2,SOLAR,-1,0
2019-01-02,2,BIOFUEL,0,10
2019-01-02,3,NUCLEAR,0,11236
2019-01-02,3,GAS,0,247
2019-01-02,3,HYDRO,0,4035
2019-01-02,3,WIND,0,192
2019-01-02,3,SOLAR,-1,0
2019-01-02,3,BIOFUEL,0,6
2019-01-02,4,NUCLEAR,0,11242
2019-01-02,4,GAS,0,325
2019-01-02,4,HYDRO,0,3762
2019-01-02,4,WIND,0,182
2019-01-02,4,SOLAR,-1,0
2019-01-02,4,BIOFUEL,0,4
2019-01-02,5,NUCLEAR,0,11243
2019-01-02,5,GAS,0,521
2019-01-02,5,HYDRO,0,3489
2019-01-02,5,WIND,0,191
2019-01-02,5,SOLAR,-1,0
2019-01-02,5,BIOFUEL,0,4
2019-01-02,6,NUCLEAR,0,11245
2019-01-02,6,GAS,0,855
2019-01-02,6,HYDRO,0,3288
2019-01-02,6,WIND,0,183
2019-01-02,6,SOLAR,-1,0
2019-01-02,6,BIOFUEL,0,5
2019-01-02,7,NUCLEAR,0,11243
2019-01-02,7,GAS,0,1119
2019-01-02,7,HYDRO,0,3501
2019-01-02,7,WIND,0,275
2019-01-02,7,SOLAR,-1,0
2019-01-02,7,BIOFUEL,0,10
2019-01-02,8,NUCLEAR,0,11242
2019-01-02,8,GAS,0,1238
2019-01-02,8,HYDRO,0,4237
2019-01-02,8,WIND,0,428
2019-01-02,8,SOLAR,-1,0
2019-01-02,8,BIOFUEL,0,23
2019-01-02,9,NUCLEAR,0,11242
2019-01-02,9,GAS,0,1296
2019-01-02,9,HYDRO,0,4948
2019-01-02,9,WIND,0,513
2019-01-02,9,SOLAR,-1,19
2019-01-02,9,BIOFUEL,0,27
2019-01-02,10,NUCLEAR,0,11241
2019-01-02,10,GAS,0,1422
2019-01-02,10,HYDRO,0,5016
2019-01-02,10,WIND,0,546
2019-01-02,10,SOLAR,-1,67
2019-01-02,10,BIOFUEL,0,28
2019-01-02,11,NUCLEAR,0,11240
2019-01-02,11,GAS,0,1438
2019-01-02,11,HYDRO,0,5203
2019-01-02,11,WIND,0,622
2019-01-02,11,SOLAR,-1,123
2019-01-02,11,BIOFUEL,0,27
2019-01-02,12,NUCLEAR,0,11235
2019-01-02,12,GAS,0,1442
2019-01-02,12,HYDRO,0,5058
2019-01-02,12,WIND,0,667
2019-01-02,12,SOLAR,-1,125
2019-01-02,12,BIOFUEL,0,27
2019-01-02,13,NUCLEAR,0,11232
2019-01-02,13,GAS,0,1476
2019-01-02,13,HYDRO,0,5091
2019-01-02,13,WIND,0,788
2019-01-02,13,SOLAR,-1,125
2019-01-02,13,BIOFUEL,0,28
2019-01-02,14,NUCLEAR,0,11228
2019-01-02,14,GAS,0,1517
2019-01-02,14,HYDRO,0,4716
2019-01-02,14,WIND,0,795
2019-01-02,14,SOLAR,-1,77
2019-01-02,14,BIOFUEL,0,27
2019-01-02,15,NUCLEAR,0,11224
2019-01-02,15,GAS,0,1312
2019-01-02,15,HYDRO,0,4804
2019-01-02,15,WIND,0,960
2019-01-02,15,SOLAR,-1,41
2019-01-02,15,BIOFUEL,0,29
2019-01-02,16,NUCLEAR,0,11221
2019-01-02,16,GAS,0,1470
2019-01-02,16,HYDRO,0,4980
2019-01-02,16,WIND,0,984
2019-01-02,16,SOLAR,-1,18
2019-01-02,16,BIOFUEL,0,51
2019-01-02,17,NUCLEAR,0,11223
2019-01-02,17,GAS,0,1512
2019-01-02,17,HYDRO,0,5093
2019-01-02,17,WIND,0,1104
2019-01-02,17,SOLAR,-1,1
2019-01-02,17,BIOFUEL,0,91
2019-01-02,18,NUCLEAR,0,11220
2019-01-02,18,GAS,0,1551
2019-01-02,18,HYDRO,0,5682
2019-01-02,18,WIND,0,1288
2019-01-02,18,SOLAR,-1,0
2019-01-02,18,BIOFUEL,0,159
2019-01-02,19,NUCLEAR,0,11227
2019-01-02,19,GAS,0,1566
2019-01-02,19,HYDRO,0,5637
2019-01-02,19,WIND,0,1405
2019-01-02,19,SOLAR,-1,0
2019-01-02,19,BIOFUEL,0,126
2019-01-02,20,NUCLEAR,0,11219
2019-01-02,20,GAS,0,1397
2019-01-02,20,HYDRO,0,5822
2019-01-02,20,WIND,0,1267
2019-01-02,20,SOLAR,-1,0
2019-01-02,20,BIOFUEL,0,99
2019-01-02,21,NUCLEAR,0,11207
2019-01-02,21,GAS,0,1082
2019-01-02,21,HYDRO,0,5562
2019-01-02,21,WIND,0,1400
2019-01-02,21,SOLAR,-1,0
2019-01-02,21,BIOFUEL,0,180
2019-01-02,22,NUCLEAR,0,11219
2019-01-02,22,GAS,0,993
2019-01-02,22,HYDRO,0,5272
2019-01-02,22,WIND,0,1490
2019-01-02,22,SOLAR,-1,0
2019-01-02,22,BIOFUEL,0,188
2019-01-02,23,NUCLEAR,0,11214
2019-01-02,23,GAS,0,408
2019-01-02,23,HYDRO,0,4510
2019-01-02,23,WIND,0,2376
2019-01-02,23,SOLAR,-1,0
2019-01-02,23,BIOFUEL,0,111
2019-01-02,24,NUCLEAR,0,11222
2019-01-02,24,GAS,0,260
2019-01-02,24,HYDRO,0,3240
2019-01-02,24,WIND,0,2809
2019-01-02,24,SOLAR,-1,0
2019-01-02,24,BIOFUEL,0,29
2019-01-03,1,NUCLEAR,0,11218
2019-01-03,1,GAS,0,263
2019-01-03,1,HYDRO,0,2969
2019-01-03,1,WIND,0,2770
2019-01-03,1,SOLAR,-1,0
2019-01-03,1,BIOFUEL,0,12
2019-01-03,2,NUCLEAR,0,11215
2019-01-03,2,GAS,0,264
2019-01-03,2,HYDRO,0,3003
2019-01-03,2,WIND,0,2673
2019-01-03,2,SOLAR,-1,0
2019-01-03,2,BIOFUEL,0,9
2019-01-03,3,NUCLEAR,0,11206
2019-01-03,3,GAS,0,263
2019-01-03,3,HYDRO,0,2921
2019-01-03,3,WIND,0,2719
2019-01-03,3,SOLAR,-1,0
2019-01-03,3,BIOFUEL,0,10
2019-01-03,4,NUCLEAR,0,11202
2019-01-03,4,GAS,0,264
2019-01-03,4,HYDRO,0,2964
2019-01-03,4,WIND,0,2370
2019-01-03,4,SOLAR,-1,0
2019-01-03,4,BIOFUEL,0,10
2019-01-03,5,NUCLEAR,0,11205
2019-01-03,5,GAS,0,264
2019-01-03,5,HYDRO,0,3009
2019-01-03,5,WIND,0,2324
2019-01-03,5,SOLAR,-1,0
2019-01-03,5,BIOFUEL,0,11
2019-01-03,6,NUCLEAR,0,11198
2019-01-03,6,GAS,0,267
2019-01-03,6,HYDRO,0,3015
2019-01-03,6,WIND,0,2085
2019-01-03,6,SOLAR,-1,0
2019-01-03,6,BIOFUEL,0,14
2019-01-03,7,NUCLEAR,0,11209
2019-01-03,7,GAS,0,311
2019-01-03,7,HYDRO,0,3456
2019-01-03,7,WIND,0,2091
2019-01-03,7,SOLAR,-1,0
2019-01-03,7,BIOFUEL,0,21
2019-01-03,8,NUCLEAR,0,11203
2019-01-03,8,GAS,0,446
2019-01-03,8,HYDRO,0,4199
2019-01-03,8,WIND,0,2237
2019-01-03,8,SOLAR,-1,0
2019-01-03,8,BIOFUEL,0,26
2019-01-03,9,NUCLEAR,0,11216
2019-01-03,9,GAS,0,473
2019-01-03,9,HYDRO,0,5104
2019-01-03,9,WIND,0,1873
2019-01-03,9,SOLAR,-1,0
2019-01-03,9,BIOFUEL,0,27
2019-01-03,10,NUCLEAR,0,11228
2019-01-03,10,GAS,0,593
