DeliveryYear,Day,Hour,Fuel,OutputQuality,Output
2020,2020-01-01,1,NUCLEAR,0,11633
2020,2020-01-01,1,GAS,-1,232
2020,2020-01-01,1,HYDRO,0,2948
2020,2020-01-01,1,WIND,0,1717
2020,2020-01-01,1,SOLAR,0,0
2020,2020-01-01,1,BIOFUEL,0,17
2020,2020-01-01,2,NUCLEAR,0,11637
2020,2020-01-01,2,GAS,-1,231
2020,2020-01-01,2,HYDRO,0,2909
2020,2020-01-01,2,WIND,0,1382
2020,2020-01-01,2,SOLAR,0,0
2020,2020-01-01,2,BIOFUEL,0,14
2020,2020-01-01,3,NUCLEAR,0,11638
2020,2020-01-01,3,GAS,-1,233
2020,2020-01-01,3,HYDRO,0,2880
2020,2020-01-01,3,WIND,0,1263
2020,2020-01-01,3,SOLAR,0,0
2020,2020-01-01,3,BIOFUEL,0,13
2020,2020-01-01,4,NUCLEAR,0,11632
2020,2020-01-01,4,GAS,-1,233
2020,2020-01-01,4,HYDRO,0,2850
2020,2020-01-01,4,WIND,0,1184
2020,2020-01-01,4,SOLAR,0,0
2020,2020-01-01,4,BIOFUEL,0,13
2020,2020-01-01,5,NUCLEAR,0,11627
2020,2020-01-01,5,GAS,-1,231
2020,2020-01-01,5,HYDRO,0,2950
2020,2020-01-01,5,WIND,0,1202
2020,2020-01-01,5,SOLAR,0,0
2020,2020-01-01,5,BIOFUEL,0,13
2020,2020-01-01,6,NUCLEAR,0,11636
2020,2020-01-01,6,GAS,-1,233
2020,2020-01-01,6,HYDRO,0,2960
2020,2020-01-01,6,WIND,0,1248
2020,2020-01-01,6,SOLAR,0,0
2020,2020-01-01,6,BIOFUEL,0,14
2020,2020-01-01,7,NUCLEAR,0,11639
2020,2020-01-01,7,GAS,-1,235
2020,2020-01-01,7,HYDRO,0,3143
2020,2020-01-01,7,WIND,0,1236
2020,2020-01-01,7,SOLAR,0,0
2020,2020-01-01,7,BIOFUEL,0,15
2020,2020-01-01,8,NUCLEAR,0,11633
2020,2020-01-01,8,GAS,-1,443
2020,2020-01-01,8,HYDRO,0,3303
2020,2020-01-01,8,WIND,0,1044
2020,2020-01-01,8,SOLAR,0,0
2020,2020-01-01,8,BIOFUEL,0,16
2020,2020-01-01,9,NUCLEAR,0,11637
2020,2020-01-01,9,GAS,-1,481
2020,2020-01-01,9,HYDRO,0,3410
2020,2020-01-01,9,WIND,0,990
2020,2020-01-01,9,SOLAR,0,4
2020,2020-01-01,9,BIOFUEL,0,14
2020,2020-01-01,10,NUCLEAR,0,11632
2020,2020-01-01,10,GAS,-1,454
2020,2020-01-01,10,HYDRO,0,3375
2020,2020-01-01,10,WIND,0,1358
2020,2020-01-01,10,SOLAR,0,22
2020,2020-01-01,10,BIOFUEL,0,14
2020,2020-01-01,11,NUCLEAR,0,11637
2020,2020-01-01,11,GAS,-1,434
2020,2020-01-01,11,HYDRO,0,3423
2020,2020-01-01,11,WIND,0,1713
2020,2020-01-01,11,SOLAR,0,46
2020,2020-01-01,11,BIOFUEL,0,13
2020,2020-01-01,12,NUCLEAR,0,11635
2020,2020-01-01,12,GAS,-1,405
2020,2020-01-01,12,HYDRO,0,3372
2020,2020-01-01,12,WIND,0,1968
2020,2020-01-01,12,SOLAR,0,58
