:DeliveryYear,Month,Fuel,EnergyGW
2016,January,NUCLEAR,8459.11
2016,January,GAS,1079.04
2016,January,HYDRO,3412.83
2016,January,WIND,1197.59
2016,January,SOLAR,14.38
2016,January,BIOFUEL,37.45
2016,February,NUCLEAR,7849.61
2016,February,GAS,866.18
2016,February,HYDRO,3226.38
2016,February,WIND,934.19
2016,February,SOLAR,19.12
2016,February,BIOFUEL,38.99
2016,March,NUCLEAR,7918.91
2016,March,GAS,751
2016,March,HYDRO,3250.77
2016,March,WIND,655.62
2016,March,SOLAR,36.36
2016,March,BIOFUEL,48.49
2016,April,NUCLEAR,6911.26
2016,April,GAS,666.85
2016,April,HYDRO,3197.3
2016,April,WIND,605.68
2016,April,SOLAR,46.76
2016,April,BIOFUEL,34.76
2016,May,NUCLEAR,6092.72
2016,May,GAS,1018.74
2016,May,HYDRO,3388.71
2016,May,WIND,603.74
2016,May,SOLAR,57.94
2016,May,BIOFUEL,45.24
2016,June,NUCLEAR,7322.47
2016,June,GAS,1020.51
2016,June,HYDRO,3085.51
2016,June,WIND,584.95
2016,June,SOLAR,59.04
2016,June,BIOFUEL,28.11
2016,July,NUCLEAR,8244.42
2016,July,GAS,1577.12
2016,July,HYDRO,2801.12
2016,July,WIND,524.08
2016,July,SOLAR,56.01
2016,July,BIOFUEL,44.37
2016,August,NUCLEAR,8082.7
2016,August,GAS,2121.96
2016,August,HYDRO,2708.5
2016,August,WIND,504.42
2016,August,SOLAR,54.71
2016,August,BIOFUEL,61
2016,September,NUCLEAR,7695.77
2016,September,GAS,1091.33
2016,September,HYDRO,2582.91
2016,September,WIND,568.42
2016,September,SOLAR,47.02
2016,September,BIOFUEL,38.74
2016,October,NUCLEAR,7719.73
2016,October,GAS,744.37
2016,October,HYDRO,2607.57
2016,October,WIND,750.77
2016,October,SOLAR,33.82
2016,October,BIOFUEL,49.62
2016,November,NUCLEAR,7525.33
2016,November,GAS,904.63
2016,November,HYDRO,2566.48
2016,November,WIND,955.57
2016,November,SOLAR,28.75
2016,November,BIOFUEL,34.74
2016,December,NUCLEAR,7879.69
2016,December,GAS,918.38
2016,December,HYDRO,2891.9
2016,December,WIND,1450.4
2016,December,SOLAR,12.49
2016,December,BIOFUEL,29.92
