DeliveryYear,Month,Fuel,EnergyGW
2019,January,NUCLEAR,8057.99
2019,January,GAS,941.07
2019,January,HYDRO,3422.35
2019,January,WIND,1435.37
2019,January,SOLAR,24.86
2019,January,BIOFUEL,30.93
2019,February,NUCLEAR,6320.06
2019,February,GAS,1261.45
2019,February,HYDRO,3182.15
2019,February,WIND,1205.47
2019,February,SOLAR,30.39
2019,February,BIOFUEL,22.72
2019,March,NUCLEAR,6547.15
2019,March,GAS,1262.38
2019,March,HYDRO,3183.01
2019,March,WIND,1269.84
2019,March,SOLAR,59.24
2019,March,BIOFUEL,33.84
2019,April,NUCLEAR,6580.45
2019,April,GAS,432.65
2019,April,HYDRO,3138.32
2019,April,WIND,1065.94
2019,April,SOLAR,64.42
2019,April,BIOFUEL,29.5
2019,May,NUCLEAR,6981.78
2019,May,GAS,370.93
2019,May,HYDRO,3653.81
2019,May,WIND,633.64
2019,May,SOLAR,72.41
2019,May,BIOFUEL,31.32
2019,June,NUCLEAR,8136.4
2019,June,GAS,269.15
2019,June,HYDRO,3214.07
2019,June,WIND,379.75
2019,June,SOLAR,78.29
2019,June,BIOFUEL,25.61
2019,July,NUCLEAR,8485.53
2019,July,GAS,1546.23
2019,July,HYDRO,2978.11
2019,July,WIND,511.46
2019,July,SOLAR,91.25
2019,July,BIOFUEL,38.88
2019,August,NUCLEAR,8527.92
2019,August,GAS,940.9
2019,August,HYDRO,2509.47
2019,August,WIND,507.27
2019,August,SOLAR,90.26
2019,August,BIOFUEL,38.45
2019,September,NUCLEAR,7726.23
2019,September,GAS,494.25
2019,September,HYDRO,2379.13
2019,September,WIND,695
2019,September,SOLAR,71.19
2019,September,BIOFUEL,30.3
2019,October,NUCLEAR,7905.17
2019,October,GAS,303.53
2019,October,HYDRO,2698.93
2019,October,WIND,818.39
2019,October,SOLAR,47.55
2019,October,BIOFUEL,18
2019,November,NUCLEAR,7149.68
2019,November,GAS,870.57
2019,November,HYDRO,3001.92
2019,November,WIND,1148.5
2019,November,SOLAR,27.05
2019,November,BIOFUEL,36.06
2019,December,NUCLEAR,8031.27
2019,December,GAS,820.1
2019,December,HYDRO,3041.99
2019,December,WIND,1306.29
2019,December,SOLAR,19.45
2019,December,BIOFUEL,33.98
